frame,t,bx,by
306,12.24,1030.9935560717,465.4428230777784
307,12.28,1036.1291608863773,460.8885373218489
308,12.32,1041.0366062563526,456.2761425577347
309,12.36,1045.7130656287718,451.608295397299
310,12.4,1050.155845492328,446.8876843914519
311,12.44,1054.3623869286516,442.1170284816199
312,12.48,1058.330267086176,437.2990754337105
313,12.52,1062.0572005756317,432.4366002554751
314,12.56,1065.5410407863692,427.5324035981813
315,12.6,1068.7797811227467,422.5893101435149
316,12.64,1071.7715561598734,417.6101669766419
317,12.68,1074.5146427180425,412.59784194636563
318,12.72,1077.0074608552363,407.5552220133255
319,12.76,1079.248574777128,402.48521158718717
320,12.8,1081.2366936640592,397.3907308537832
321,12.84,1082.970672414518,392.2747140931666
322,12.88,1084.4495123046838,387.1401079895465
323,12.92,1085.6723615636665,381.9898699340797
324,12.96,1086.6385158641012,376.8269663214951
325,13.0,1087.347418727823,371.65437084153234
326,13.04,1087.7986618463815,366.47506276617895
327,13.08,1087.991985316216,361.29202523369094
328,13.12,1087.9272777883532,356.1082435303899
329,13.16,1087.6045765325398,350.9267033712178
330,13.2,1087.0240674157774,345.75038918005055
331,13.24,1086.1860847952676,340.5822823707495
332,13.28,1085.0911113258317,335.4253596299526
333,13.32,1083.7397776819148,330.28259120258184
334,13.36,1082.132862194335,325.1569391810674
335,13.4,1080.2712904019863,320.0513557992624
336,13.44,1078.1561345187524,314.96878173203777
337,13.48,1075.7886128159444,309.9121444015367
338,13.52,1073.1700889206063,304.88435629105743
339,13.56,1070.302071030107,299.8883132675469
340,13.6,1067.1862110434572,294.9268929136578
341,13.64,1063.8243036098643,290.00295287034413
342,13.68,1060.2182850950612,285.11932919093556
343,13.72,1056.3702324660158,280.2788347076524
344,13.76,1052.2823620946526,275.4842574114887
345,13.8,1047.9570284812871,270.73835884641005
346,13.84,1043.3967228984957,266.043872518777
347,13.88,1038.6040719562134,261.4035023229244
348,13.92,1033.5818360888777,256.81992098378976
349,13.96,1028.3329079654968,252.29576851750073
350,14.0,1022.8603108235498,247.83365071079592
351,14.04,1017.167196727687,243.4361376201663
352,14.08,1011.2568447542275,239.10576209157136
353,14.12,1005.132659102502,234.8450183015923
354,14.16,998.798167134127,230.65636032085268
355,14.2,992.2570173413443,226.5422007005443
356,14.24,985.5129772455875,222.5049090828617
357,14.28,978.5699312274974,218.54681083615637
358,14.32,971.4318782896213,214.67018571558646
359,14.36,964.1029297531036,210.87726655004306
360,14.4,956.5873068896733,207.1702379561004
361,14.44,948.889338490313,203.5512350797392
362,14.48,941.01345837199,200.02234236655934
